datetime,consumption_kWh
02-06-2022,"23,944.33"
03-06-2022,"36,392.37"
04-06-2022,"31,005.31"
05-06-2022,"31,374.58"
06-06-2022,"26,617.22"
07-06-2022,"25,185.13"
08-06-2022,"27,010.28"
09-06-2022,"32,582.64"
10-06-2022,"28,134.43"
11-06-2022,"27,826.63"
12-06-2022,"32,394.02"
13-06-2022,"26,327.81"
14-06-2022,"27,162.80"
15-06-2022,"27,464.63"
16-06-2022,"26,044.23"
17-06-2022,"27,462.43"
18-06-2022,"31,223.59"
19-06-2022,"29,102.73"
20-06-2022,"26,407.17"
21-06-2022,"25,858.24"
22-06-2022,"24,626.01"
23-06-2022,"26,096.96"
24-06-2022,"25,408.57"
25-06-2022,"27,949.81"
26-06-2022,"27,472.74"
27-06-2022,"25,547.98"
28-06-2022,"26,485.88"
29-06-2022,"23,517.58"
30-06-2022,"24,648.49"
01-07-2022,"27,793.89"
02-07-2022,"28,296.81"
03-07-2022,"29,270.68"
04-07-2022,"24,709.50"
05-07-2022,"24,929.60"
06-07-2022,"23,361.07"
07-07-2022,"23,191.30"
08-07-2022,"26,631.76"
09-07-2022,"28,550.85"
10-07-2022,"28,164.19"
11-07-2022,"24,756.44"
12-07-2022,"24,176.63"
13-07-2022,"25,742.77"
14-07-2022,"24,591.82"
15-07-2022,"27,519.24"
16-07-2022,"28,251.62"
17-07-2022,"29,955.18"
18-07-2022,"24,358.60"
19-07-2022,"25,902.64"
20-07-2022,"23,337.35"
21-07-2022,"22,639.88"
22-07-2022,"25,965.66"
23-07-2022,"27,386.46"
24-07-2022,"27,468.70"
25-07-2022,"25,147.85"
26-07-2022,"23,508.77"
27-07-2022,"25,001.66"
28-07-2022,"23,101.63"
29-07-2022,"25,461.72"
30-07-2022,"26,618.97"
31-07-2022,"27,217.05"
01-08-2022,"24,219.42"
02-08-2022,"23,282.17"
03-08-2022,"23,954.05"
04-08-2022,"24,603.59"
05-08-2022,"25,426.67"
06-08-2022,"27,001.07"
07-08-2022,"26,245.71"
08-08-2022,"23,390.54"
09-08-2022,"24,516.64"
10-08-2022,"22,427.83"
11-08-2022,"22,326.05"
12-08-2022,"24,220.12"
13-08-2022,"26,507.30"
14-08-2022,"27,579.77"
15-08-2022,"20,421.68"
16-08-2022,"22,552.10"
17-08-2022,"22,796.91"
18-08-2022,"21,078.16"
19-08-2022,"25,253.18"
20-08-2022,"24,851.56"
21-08-2022,"25,416.13"
22-08-2022,"21,344.57"
23-08-2022,"20,986.05"
24-08-2022,"21,792.14"
25-08-2022,"22,047.89"
26-08-2022,"23,650.19"
27-08-2022,"23,989.33"
28-08-2022,"25,468.52"
29-08-2022,"24,019.02"
30-08-2022,"23,165.77"
31-08-2022,"21,263.27"
01-09-2022,"20,812.65"
02-09-2022,"23,279.09"
03-09-2022,"26,345.58"
04-09-2022,"24,322.65"
05-09-2022,"22,102.74"
06-09-2022,"21,571.21"
07-09-2022,"22,773.54"
08-09-2022,"20,493.76"
09-09-2022,"23,143.32"
10-09-2022,"23,066.43"
11-09-2022,"24,294.23"
12-09-2022,"23,201.85"
13-09-2022,"20,969.56"
14-09-2022,"22,338.01"
15-09-2022,"22,959.76"
16-09-2022,"22,909.04"
17-09-2022,"25,039.05"
18-09-2022,"24,280.51"
19-09-2022,"22,233.98"
20-09-2022,"19,316.96"
21-09-2022,"21,072.75"
22-09-2022,"21,728.64"
23-09-2022,"23,647.57"
24-09-2022,"24,891.22"
25-09-2022,"24,375.66"
26-09-2022,"20,455.34"
27-09-2022,"20,920.40"
28-09-2022,"22,063.55"
29-09-2022,"19,623.06"
30-09-2022,"21,839.09"
01-10-2022,"24,347.55"
02-10-2022,"22,657.01"
03-10-2022,"19,891.37"
04-10-2022,"19,015.93"
05-10-2022,"20,421.50"
06-10-2022,"21,169.86"
07-10-2022,"22,405.00"
08-10-2022,"23,105.90"
09-10-2022,"25,840.77"
10-10-2022,"19,087.00"
11-10-2022,"21,774.27"
12-10-2022,"21,155.40"
13-10-2022,"20,624.95"
